Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 11:03:44
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius left (85904), ,  Gastrocnemius right (85873), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0153621, -0.0125887, 0.0153621, -0.012253, 0.0153621, -0.0078889, 0.0153621, 0.0186313, 0.0153621, -0.0287022, 0.0153621, -0.0270237, 0.0153621, 0.0052033, 0.0153621, -0.0179599, , , , , , , , , , , , , , , , , , , , , , 
0.0158276, -0.0119173, 0.0158276, -0.0132601, 0.0158276, -0.0075532, 0.0158276, 0.0181277, 0.0158276, -0.0290379, 0.0158276, -0.0270237, 0.0158276, 0.0031891, 0.0158276, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0162931, -0.0124208, 0.0162931, -0.0115816, 0.0162931, -0.0085603, 0.0162931, 0.0186313, 0.0162931, -0.0293736, 0.0162931, -0.0276951, 0.0162931, -0.0001678, 0.0162931, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0167586, -0.0135958, 0.0167586, -0.0102388, 0.0167586, -0.0104067, 0.0167586, 0.0204776, 0.0167586, -0.0287022, 0.0167586, -0.0280308, 0.0167586, -0.0018463, 0.0167586, -0.0152743, , , , , , , , , , , , , , , , , , , , , , 
0.0172241, -0.0135958, 0.0172241, -0.011078, 0.0172241, -0.0117494, 0.0172241, 0.0199741, 0.0172241, -0.0275273, 0.0172241, -0.0280308, 0.0172241, -0.0011749, 0.0172241, -0.0139315, , , , , , , , , , , , , , , , , , , , , , 
0.0176897, -0.0139315, 0.0176897, -0.012253, 0.0176897, -0.0109102, 0.0176897, 0.0186313, 0.0176897, -0.0280308, 0.0176897, -0.0276951, 0.0176897, 0.0008392, 0.0176897, -0.0124208, , , , , , , , , , , , , , , , , , , , , , 
0.0181552, -0.0125887, 0.0181552, -0.0149386, 0.0181552, -0.0102388, 0.0181552, 0.0179599, 0.0181552, -0.027863, 0.0181552, -0.0273594, 0.0181552, 0.0015106, 0.0181552, -0.012253, , , , , , , , , , , , , , , , , , , , , , 
0.0186207, -0.012253, 0.0186207, -0.0166171, 0.0186207, -0.0102388, 0.0186207, 0.0176242, 0.0186207, -0.0276951, 0.0186207, -0.0260166, 0.0186207, -0.0030213, 0.0186207, -0.0109102, , , , , , , , , , , , , , , , , , , , , , 
0.0190862, -0.0142672, 0.0190862, -0.01561, 0.0190862, -0.0102388, 0.0190862, 0.0169528, 0.0190862, -0.027863, 0.0190862, -0.0250095, 0.0190862, -0.0142672, 0.0190862, -0.0095674, , , , , , , , , , , , , , , , , , , , , , 
0.0195517, -0.0176242, 0.0195517, -0.0142672, 0.0195517, -0.0109102, 0.0195517, 0.0172885, 0.0195517, -0.0280308, 0.0195517, -0.0246738, 0.0195517, -0.0238346, 0.0195517, -0.0109102, , , , , , , , , , , , , , , , , , , , , , 
0.0200172, -0.0182956, 0.0200172, -0.0137636, 0.0200172, -0.011078, 0.0200172, 0.0182956, 0.0200172, -0.0283665, 0.0200172, -0.0246738, 0.0200172, -0.026688, 0.0200172, -0.0142672, , , , , , , , , , , , , , , , , , , , , , 
0.0204828, -0.01561, 0.0204828, -0.014435, 0.0204828, -0.0105745, 0.0204828, 0.0186313, 0.0204828, -0.0283665, 0.0204828, -0.0263523, 0.0204828, -0.0206455, 0.0204828, -0.0179599, , , , , , , , , , , , , , , , , , , , , , 
0.0209483, -0.0139315, 0.0209483, -0.0135958, 0.0209483, -0.0099031, 0.0209483, 0.0186313, 0.0209483, -0.0270237, 0.0209483, -0.0293736, 0.0209483, -0.0112459, 0.0209483, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0214138, -0.0142672, 0.0214138, -0.0124208, 0.0214138, -0.0095674, 0.0214138, 0.0182956, 0.0214138, -0.0256809, 0.0214138, -0.0303807, 0.0214138, -0.0041962, 0.0214138, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0218793, -0.0125887, 0.0218793, -0.0099031, 0.0218793, -0.010071, 0.0218793, 0.0172885, 0.0218793, -0.0256809, 0.0218793, -0.0293736, 0.0218793, -0.0010071, 0.0218793, -0.0206455, , , , , , , , , , , , , , , , , , , , , , 
0.0223448, -0.0109102, 0.0223448, -0.0075532, 0.0223448, -0.0105745, 0.0223448, 0.0159457, 0.0223448, -0.0263523, 0.0223448, -0.0290379, 0.0223448, 0.0011749, 0.0223448, -0.0219883, , , , , , , , , , , , , , , , , , , , , , 
0.0228103, -0.0115816, 0.0228103, -0.0058747, 0.0228103, -0.0112459, 0.0228103, 0.0159457, 0.0228103, -0.0255131, 0.0228103, -0.0287022, 0.0228103, 0.005539, 0.0228103, -0.0216526, , , , , , , , , , , , , , , , , , , , , , 
0.0232759, -0.0125887, 0.0232759, -0.005539, 0.0232759, -0.0105745, 0.0232759, 0.0166171, 0.0232759, -0.0250095, 0.0232759, -0.0276951, 0.0232759, 0.0099031, 0.0232759, -0.0213169, , , , , , , , , , , , , , , , , , , , , , 
0.0237414, -0.0130922, 0.0237414, -0.0082246, 0.0237414, -0.0099031, 0.0237414, 0.0162814, 0.0237414, -0.0250095, 0.0237414, -0.0270237, 0.0237414, 0.0099031, 0.0237414, -0.0216526, , , , , , , , , , , , , , , , , , , , , , 
0.0242069, -0.0115816, 0.0242069, -0.0117494, 0.0242069, -0.0109102, 0.0242069, 0.0162814, 0.0242069, -0.0251774, 0.0242069, -0.0280308, 0.0242069, 0.0046998, 0.0242069, -0.0236667, , , , , , , , , , , , , , , , , , , , , , 
0.0246724, -0.0095674, 0.0246724, -0.0117494, 0.0246724, -0.011078, 0.0246724, 0.0166171, 0.0246724, -0.0263523, 0.0246724, -0.0287022, 0.0246724, 0.0011749, 0.0246724, -0.0243381, , , , , , , , , , , , , , , , , , , , , , 
0.0251379, -0.0092317, 0.0251379, -0.0117494, 0.0251379, -0.0102388, 0.0251379, 0.0152743, 0.0251379, -0.0283665, 0.0251379, -0.0287022, 0.0251379, 0.0015106, 0.0251379, -0.0216526, , , , , , , , , , , , , , , , , , , , , , 
0.0256034, -0.0099031, 0.0256034, -0.0109102, 0.0256034, -0.0105745, 0.0256034, 0.0132601, 0.0256034, -0.0290379, 0.0256034, -0.0297093, 0.0256034, 0.0031891, 0.0256034, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.026069, -0.0102388, 0.026069, -0.0105745, 0.026069, -0.0115816, 0.026069, 0.0137636, 0.026069, -0.0283665, 0.026069, -0.0293736, 0.026069, 0.0048676, 0.026069, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
0.0265345, -0.0097353, 0.0265345, -0.0099031, 0.0265345, -0.0135958, 0.0265345, 0.01561, 0.0265345, -0.0273594, 0.0265345, -0.0290379, 0.0265345, 0.0052033, 0.0265345, -0.017792, , , , , , , , , , , , , , , , , , , , , , 
0.027, -0.0092317, 0.027, -0.0099031, 0.027, -0.0139315, 0.027, 0.01561, 0.027, -0.0283665, 0.027, -0.0280308, 0.027, 0.0048676, 0.027, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0274655, -0.0109102, 0.0274655, -0.0112459, 0.0274655, -0.0129244, 0.0274655, 0.0159457, 0.0274655, -0.0292058, 0.0274655, -0.0276951, 0.0274655, 0.0031891, 0.0274655, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.027931, -0.0112459, 0.027931, -0.0112459, 0.027931, -0.012253, 0.027931, 0.0169528, 0.027931, -0.0287022, 0.027931, -0.0280308, 0.027931, 0.0011749, 0.027931, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0283966, -0.0102388, 0.0283966, -0.012253, 0.0283966, -0.0102388, 0.0283966, 0.0169528, 0.0283966, -0.0280308, 0.0283966, -0.0297093, 0.0283966, -0.0028534, 0.0283966, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0288621, -0.0099031, 0.0288621, -0.0135958, 0.0288621, -0.0102388, 0.0288621, 0.0166171, 0.0288621, -0.0283665, 0.0288621, -0.0297093, 0.0288621, -0.0093996, 0.0288621, -0.0166171, , , , , , , , , , , , , , , , , , , , , , 
0.0293276, -0.011078, 0.0293276, -0.0129244, 0.0293276, -0.0119173, 0.0293276, 0.0166171, 0.0293276, -0.0283665, 0.0293276, -0.0297093, 0.0293276, -0.0132601, 0.0293276, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0297931, -0.0125887, 0.0297931, -0.0125887, 0.0297931, -0.0129244, 0.0297931, 0.0159457, 0.0297931, -0.0281987, 0.0297931, -0.030045, 0.0297931, -0.0119173, 0.0297931, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
